DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Type_Count,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
DP/JO/101,JO,101,C/EGD/1036,Paction,45,,jhm,7/2/2001 12:51,jhm,7/2/2001 13:28
DP/JO/102,JO,102,C/EGD/1035,Paction,45,,jhm,7/2/2001 13:00,jhm,7/2/2001 13:28
DP/JO/103,JO,103,C/EGD/1037,Paction,45,,jhm,7/2/2001 13:15,jhm,7/2/2001 13:28
DP/JO/104,JO,104,C/JO/2785,Paction,45,,jhm,7/2/2001 13:33,jhm,7/2/2001 13:33
DP/JO/105,JO,105,C/JO/2786,Paction,45,,jhm,7/2/2001 14:56,jhm,7/2/2001 14:56
DP/JO/106,JO,106,C/EGD/1047,Paction,45,,jhm,7/2/2001 15:09,jhm,7/2/2001 15:09
DP/JO/107,JO,107,C/EGD/1049,Paction,45,,jhm,7/2/2001 15:28,jhm,7/2/2001 15:28
DP/JO/108,JO,108,C/EGD/1030,Paction,45,,jhm,7/2/2001 15:58,jhm,7/2/2001 15:58
DP/JO/109,JO,109,C/EGD/1048,Paction,45,,jhm,7/2/2001 16:05,jhm,7/2/2001 16:06
DP/JO/110,JO,110,C/EGD/1031,Paction,45,,jhm,7/2/2001 16:18,jhm,7/2/2001 16:18
DP/JO/111,JO,111,C/EGD/1032,Paction,45,,jhm,7/2/2001 16:27,jhm,7/2/2001 16:27
DP/JO/112,JO,112,C/EGD/1033,Paction,45,,jhm,7/3/2001 9:26,jhm,7/3/2001 9:26
DP/JO/113,JO,113,C/EGD/1034,Paction,45,,jhm,7/3/2001 9:38,jhm,7/3/2001 9:38
DP/JO/114,JO,114,C/JO/2786,Anti-baptism,215,,jhm,7/3/2001 10:50,jhm,7/3/2001 10:50
DP/JO/115,JO,115,C/JO/2785,Anti-baptism,215,,jhm,7/3/2001 10:59,jhm,7/3/2001 11:00
DP/JO/154,JO,154,C/JO/2798,Bond/Band,3,,jhm,7/5/2001 10:44,jhm,7/5/2001 10:44
DP/JO/155,JO,155,C/JO/2798,Devil's Mark,165,,jhm,7/5/2001 10:45,jhm,7/5/2001 10:45
DP/JO/156,JO,156,C/JO/2798,New name,96,,jhm,7/5/2001 10:45,jhm,7/5/2001 10:45
DP/JO/157,JO,157,C/JO/2799,Bond/Band,3,,jhm,7/5/2001 11:40,jhm,7/5/2001 11:40
DP/JO/158,JO,158,C/JO/2799,Devil's Mark,165,,jhm,7/5/2001 11:40,jhm,7/5/2001 11:40
DP/JO/159,JO,159,C/JO/2799,New name,96,,jhm,7/5/2001 11:40,jhm,7/5/2001 11:40
DP/JO/160,JO,160,C/JO/2810,Devil's Mark,165,,jhm,7/9/2001 10:49,jhm,7/9/2001 10:49
DP/JO/161,JO,161,C/JO/2830,Anti-baptism,215,,jhm,7/10/2001 10:04,jhm,7/10/2001 10:04
DP/JO/162,JO,162,C/JO/2830,Servant,123,,jhm,7/10/2001 10:05,jhm,7/10/2001 10:05
DP/JO/163,JO,163,C/JO/2830,Head and foot,68,,jhm,7/10/2001 10:05,jhm,7/10/2001 10:05
DP/JO/164,JO,164,C/LA/2786,Servant,123,later denied,jhm,7/10/2001 10:34,jhm,7/11/2001 10:21
DP/JO/165,JO,165,C/LA/2786,Head and foot,68,,jhm,7/10/2001 10:34,jhm,7/10/2001 10:34
DP/JO/166,JO,166,C/LA/2786,Body and soul,60,,jhm,7/10/2001 10:34,jhm,7/10/2001 10:34
DP/JO/171,JO,171,C/LA/2786,Devil's Mark,165,,jhm,7/10/2001 11:02,jhm,7/10/2001 11:02
DP/JO/173,JO,173,C/EGD/402,Devil's Mark,165,,jhm,7/10/2001 11:05,jhm,7/10/2001 11:05
DP/JO/174,JO,174,C/EGD/402,Head and foot,68,,jhm,7/10/2001 11:06,jhm,7/10/2001 11:06
DP/JO/175,JO,175,C/EGD/402,Anti-baptism,215,later denied this,jhm,7/10/2001 11:07,jhm,7/11/2001 10:07
DP/JO/176,JO,176,C/LA/2785,Anti-baptism,215,,jhm,7/10/2001 12:04,jhm,7/10/2001 12:04
DP/JO/177,JO,177,C/LA/2785,Servant,123,,jhm,7/10/2001 12:04,jhm,7/10/2001 12:04
DP/JO/178,JO,178,C/LA/2785,Devil's Mark,165,,jhm,7/10/2001 12:05,jhm,7/10/2001 12:05
DP/JO/179,JO,179,C/LA/2785,Head and foot,68,,jhm,7/10/2001 12:05,jhm,7/10/2001 12:05
DP/JO/180,JO,180,C/EGD/395,Anti-baptism,215,,jhm,7/10/2001 12:42,jhm,7/10/2001 12:42
DP/JO/181,JO,181,C/EGD/395,Body and soul,60,,jhm,7/10/2001 12:43,jhm,7/10/2001 12:43
DP/JO/182,JO,182,C/EGD/395,Servant,123,,jhm,7/10/2001 12:43,jhm,7/10/2001 12:43
DP/JO/183,JO,183,C/EGD/395,Devil's Mark,165,,jhm,7/10/2001 12:43,jhm,7/10/2001 12:43
DP/JO/184,JO,184,C/EGD/395,Sex,133,lay with her,jhm,7/10/2001 12:43,jhm,7/11/2001 9:49
DP/JO/185,JO,185,C/EGD/397,Anti-baptism,215,,jhm,7/10/2001 13:00,jhm,7/10/2001 13:00
DP/JO/186,JO,186,C/EGD/397,Servant,123,,jhm,7/10/2001 13:00,jhm,7/10/2001 13:00
DP/JO/187,JO,187,C/EGD/397,Body and soul,60,,jhm,7/10/2001 13:00,jhm,7/10/2001 13:00
DP/JO/188,JO,188,C/EGD/397,Head and foot,68,,jhm,7/10/2001 13:00,jhm,7/10/2001 13:00
DP/JO/189,JO,189,C/EGD/397,Devil's Mark,165,,jhm,7/10/2001 13:00,jhm,7/10/2001 13:00
DP/JO/190,JO,190,C/EGD/396,Paction,45,,jhm,7/10/2001 15:32,jhm,7/10/2001 15:32
DP/JO/191,JO,191,C/EGD/396,Servant,123,,jhm,7/10/2001 15:32,jhm,7/10/2001 15:32
DP/JO/192,JO,192,C/EGD/396,Anti-baptism,215,,jhm,7/10/2001 15:32,jhm,7/10/2001 15:32
DP/JO/193,JO,193,C/EGD/396,Sex,133,,jhm,7/10/2001 15:32,jhm,7/10/2001 15:32
DP/JO/194,JO,194,C/EGD/1954,Servant,123,,jhm,7/10/2001 15:37,jhm,7/10/2001 15:39
DP/JO/195,JO,195,C/EGD/1954,Devil's Mark,165,,jhm,7/10/2001 15:39,jhm,7/10/2001 15:39
DP/JO/196,JO,196,C/EGD/1954,Sex,133,,jhm,7/10/2001 15:42,jhm,7/10/2001 15:42
DP/JO/199,JO,199,C/EGD/401,Body and soul,60,,jhm,7/10/2001 16:09,jhm,7/10/2001 16:09
DP/JO/200,JO,200,C/EGD/395,Head and foot,68,,jhm,7/11/2001 9:49,jhm,7/11/2001 9:50
DP/JO/201,JO,201,C/JO/2832,Servant,123,,jhm,7/11/2001 10:58,jhm,7/11/2001 10:58
DP/JO/202,JO,202,C/JO/2832,Anti-baptism,215,,jhm,7/11/2001 10:58,jhm,7/11/2001 10:58
DP/JO/203,JO,203,C/JO/2832,Head and foot,68,,jhm,7/11/2001 10:58,jhm,7/11/2001 10:58
DP/JO/204,JO,204,C/JO/2832,Sex,133,,jhm,7/11/2001 10:58,jhm,7/11/2001 10:58
DP/JO/21,JO,21,C/EGD/2121,tacit pact,6,servant mentioned by prosecution,jhm,6/5/2001 14:51,jhm,6/5/2001 14:53
DP/JO/228,JO,228,C/EGD/400,Devil's Mark,165,shoulder,jhm,7/16/2001 9:18,jhm,7/16/2001 9:23
DP/JO/229,JO,229,C/EGD/408,Anti-baptism,215,,jhm,7/16/2001 15:52,jhm,7/16/2001 15:52
DP/JO/27,JO,27,C/EGD/1324,Servant,123,,jhm,6/13/2001 12:37,jhm,6/13/2001 12:37
DP/JO/272,JO,272,C/JO/2834,Anti-baptism,215,,jhm,7/25/2001 11:23,jhm,7/25/2001 11:23
DP/JO/273,JO,273,C/JO/2834,Sex,133,,jhm,7/25/2001 11:23,jhm,7/25/2001 11:23
DP/JO/274,JO,274,C/JO/2834,Paction,45,,jhm,7/25/2001 11:24,jhm,7/25/2001 11:24
DP/JO/275,JO,275,C/EGD/1817,Paction,45,,jhm,7/31/2001 13:31,jhm,7/31/2001 13:31
DP/JO/276,JO,276,C/EGD/1817,Anti-baptism,215,,jhm,7/31/2001 13:34,jhm,7/31/2001 13:34
DP/JO/277,JO,277,C/EGD/1817,Body and soul,60,,jhm,7/31/2001 13:34,jhm,7/31/2001 13:34
DP/JO/278,JO,278,C/EGD/1817,Head and foot,68,,jhm,7/31/2001 13:34,jhm,7/31/2001 13:34
DP/JO/279,JO,279,C/EGD/1817,Devil's Mark,165,on neck,jhm,7/31/2001 13:35,jhm,7/31/2001 13:35
DP/JO/28,JO,28,C/EGD/1324,Devil's Mark,165,nip on left shoulder,jhm,6/13/2001 12:37,jhm,6/13/2001 12:38
DP/JO/281,JO,281,C/EGD/1862,Anti-baptism,215,,jhm,7/31/2001 14:44,jhm,7/31/2001 14:44
DP/JO/282,JO,282,C/EGD/1862,Sex,133,,jhm,7/31/2001 14:44,jhm,7/31/2001 14:44
DP/JO/283,JO,283,C/EGD/1862,Devil's Mark,165,right side of neck,jhm,7/31/2001 14:45,jhm,7/31/2001 14:45
DP/JO/284,JO,284,C/EGD/1862,Servant,123,,jhm,7/31/2001 14:45,jhm,7/31/2001 14:45
DP/JO/285,JO,285,C/EGD/1859,Servant,123,,jhm,7/31/2001 15:25,jhm,7/31/2001 15:25
DP/JO/286,JO,286,C/EGD/1859,Head and foot,68,,jhm,7/31/2001 15:25,jhm,7/31/2001 15:25
DP/JO/287,JO,287,C/EGD/1859,Anti-baptism,215,,jhm,7/31/2001 15:25,jhm,7/31/2001 15:25
DP/JO/288,JO,288,C/EGD/1859,Want nothing,43,,jhm,7/31/2001 15:25,jhm,7/31/2001 15:25
DP/JO/289,JO,289,C/EGD/1859,New name,96,Willie,jhm,7/31/2001 15:25,jhm,7/31/2001 15:26
DP/JO/29,JO,29,C/EGD/1324,Anti-baptism,215,,jhm,6/13/2001 12:40,jhm,6/13/2001 12:40
DP/JO/290,JO,290,C/EGD/1859,Devil's Mark,165,on right hand,jhm,7/31/2001 15:25,jhm,7/31/2001 15:27
DP/JO/291,JO,291,C/EGD/1860,Anti-baptism,215,,jhm,7/31/2001 15:44,jhm,7/31/2001 15:44
DP/JO/292,JO,292,C/EGD/1860,Body and soul,60,,jhm,7/31/2001 15:44,jhm,7/31/2001 15:44
DP/JO/293,JO,293,C/EGD/2444,Anti-baptism,215,,jhm,8/2/2001 15:49,jhm,8/2/2001 15:49
DP/JO/294,JO,294,C/EGD/2444,Paction,45,,jhm,8/2/2001 15:49,jhm,8/2/2001 15:49
DP/JO/295,JO,295,C/EGD/1770,Devil's Mark,165,shoulder,jhm,8/16/2001 10:16,jhm,8/16/2001 10:17
DP/JO/296,JO,296,C/EGD/1770,Anti-baptism,215,,jhm,8/16/2001 10:22,jhm,8/16/2001 10:22
DP/JO/297,JO,297,C/EGD/1757,Devil's Mark,165,,jhm,8/17/2001 12:06,jhm,8/17/2001 12:06
DP/JO/298,JO,298,C/EGD/1758,Devil's Mark,165,,jhm,8/17/2001 12:22,jhm,8/17/2001 12:22
DP/JO/299,JO,299,C/EGD/1759,Devil's Mark,165,,jhm,8/17/2001 12:34,jhm,8/17/2001 12:34
DP/JO/30,JO,30,C/EGD/1324,New name,96,Lisbie,jhm,6/13/2001 12:40,jhm,6/13/2001 12:41
DP/JO/300,JO,300,C/EGD/1756,Devil's Mark,165,,jhm,8/17/2001 12:41,jhm,8/17/2001 12:41
DP/JO/301,JO,301,C/JO/2883,Devil's Mark,165,nip on right cheek below ear,jhm,9/7/2001 12:57,jhm,9/7/2001 12:58
DP/JO/302,JO,302,C/JO/2883,Head and foot,68,,jhm,9/7/2001 12:58,jhm,9/7/2001 12:58
DP/JO/303,JO,303,C/JO/2883,Body and soul,60,,jhm,9/7/2001 12:58,jhm,9/7/2001 12:58
DP/JO/304,JO,304,C/JO/2882,Anti-baptism,215,,jhm,9/7/2001 13:17,jhm,9/7/2001 13:17
DP/JO/305,JO,305,C/JO/2882,Devil's Mark,165,on mouth,jhm,9/7/2001 13:17,jhm,9/7/2001 13:18
DP/JO/31,JO,31,C/EGD/1324,Sex,133,with a rough (ruch) man all black,jhm,6/13/2001 12:42,jhm,6/13/2001 12:44
DP/JO/32,JO,32,C/EGD/1323,Sex,133,,jhm,6/13/2001 13:16,jhm,6/13/2001 13:16
DP/JO/33,JO,33,C/EGD/1323,Anti-baptism,215,,jhm,6/13/2001 13:16,jhm,6/13/2001 13:16
DP/JO/34,JO,34,C/EGD/1323,Servant,123,,jhm,6/13/2001 13:16,jhm,6/13/2001 13:16
DP/JO/35,JO,35,C/EGD/1323,New name,96,Margaret,jhm,6/13/2001 13:16,jhm,6/13/2001 13:16
DP/JO/36,JO,36,C/EGD/1323,Devil's Mark,165,nip under right arm,jhm,6/13/2001 13:16,jhm,6/13/2001 13:17
DP/JO/369,JO,369,C/EGD/1924,Paction,45,,jhm,9/25/2001 9:58,jhm,9/25/2001 9:58
DP/JO/370,JO,370,C/EGD/1924,Possession,1,,jhm,9/25/2001 10:00,jhm,9/25/2001 10:00
DP/JO/371,JO,371,C/EGD/1367,Anti-baptism,215,,jhm,10/19/2001 10:32,jhm,10/19/2001 10:32
DP/JO/372,JO,372,C/EGD/1367,Body and soul,60,,jhm,10/19/2001 10:32,jhm,10/19/2001 10:32
DP/JO/373,JO,373,C/EGD/1367,Head and foot,68,,jhm,10/19/2001 10:32,jhm,10/19/2001 10:32
DP/JO/374,JO,374,C/EGD/1367,Servant,123,,jhm,10/19/2001 10:33,jhm,10/19/2001 10:33
DP/JO/375,JO,375,C/EGD/1368,Anti-baptism,215,,jhm,10/19/2001 10:55,jhm,10/19/2001 10:55
DP/JO/376,JO,376,C/EGD/1368,Body and soul,60,,jhm,10/19/2001 10:55,jhm,10/19/2001 10:55
DP/JO/377,JO,377,C/EGD/1368,Head and foot,68,,jhm,10/19/2001 10:55,jhm,10/19/2001 10:55
DP/JO/378,JO,378,C/EGD/1368,New name,96,Katharine,jhm,10/19/2001 10:55,jhm,10/19/2001 10:55
DP/JO/379,JO,379,C/EGD/1375,Anti-baptism,215,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/380,JO,380,C/EGD/1375,Head and foot,68,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/381,JO,381,C/EGD/1375,Body and soul,60,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/382,JO,382,C/EGD/1375,New name,96,Elisabeth,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/383,JO,383,C/EGD/1375,Sex,133,nature cold,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/384,JO,384,C/EGD/1375,Servant,123,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/385,JO,385,C/EGD/1372,Servant,123,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/386,JO,386,C/EGD/1372,Head and foot,68,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/387,JO,387,C/EGD/1372,Body and soul,60,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/388,JO,388,C/EGD/1372,New name,96,Madge,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/389,JO,389,C/EGD/1373,Servant,123,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/390,JO,390,C/EGD/1373,Anti-baptism,215,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/391,JO,391,C/EGD/1373,Head and foot,68,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/392,JO,392,C/EGD/1373,Want nothing,43,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:39
DP/JO/393,JO,393,C/EGD/1373,Sex,133,cold nature,jhm,10/19/2001 12:39,jhm,10/19/2001 12:41
DP/JO/394,JO,394,C/EGD/1373,New name,96,Magie,jhm,10/19/2001 12:39,jhm,10/19/2001 12:39
DP/JO/395,JO,395,C/JO/2905,Anti-baptism,215,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/396,JO,396,C/JO/2905,Body and soul,60,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/397,JO,397,C/JO/2905,Head and foot,68,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/398,JO,398,C/JO/2905,Sex,133,nature cold,jhm,10/19/2001 12:59,jhm,10/19/2001 13:00
DP/JO/399,JO,399,C/JO/2905,Servant,123,,jhm,10/19/2001 13:00,jhm,10/19/2001 13:00
DP/JO/400,JO,400,C/EGD/1374,Anti-baptism,215,,jhm,10/19/2001 13:08,jhm,10/19/2001 13:08
DP/JO/401,JO,401,C/EGD/1374,Head and foot,68,,jhm,10/19/2001 13:08,jhm,10/19/2001 13:08
DP/JO/402,JO,402,C/EGD/1374,Body and soul,60,,jhm,10/19/2001 13:08,jhm,10/19/2001 13:08
DP/JO/403,JO,403,C/EGD/1374,Sex,133,nature cold,jhm,10/19/2001 13:08,jhm,10/19/2001 13:08
DP/JO/404,JO,404,C/EGD/1374,Servant,123,,jhm,10/19/2001 13:09,jhm,10/19/2001 13:09
DP/JO/405,JO,405,C/EGD/1374,New name,96,Jonet,jhm,10/19/2001 13:09,jhm,10/19/2001 13:09
DP/JO/406,JO,406,C/EGD/2453,Sex,133,,jhm,10/23/2001 11:04,jhm,10/23/2001 11:04
DP/JO/407,JO,407,C/EGD/2453,Tacit pact,6,,jhm,10/23/2001 11:58,jhm,10/23/2001 11:58
DP/JO/412,JO,412,C/EGD/1310,Servant,123,,jhm,11/23/2001 15:56,jhm,11/23/2001 15:56
DP/JO/413,JO,413,C/EGD/1310,Devil's Mark,165,,jhm,11/23/2001 15:56,jhm,11/23/2001 15:56
DP/JO/414,JO,414,C/EGD/1818,Servant,123,,jhm,11/27/2001 13:45,jhm,11/27/2001 13:45
DP/JO/415,JO,415,C/EGD/1818,Devil's Mark,165,on shoulder,jhm,11/27/2001 13:45,jhm,11/27/2001 13:52
DP/JO/416,JO,416,C/JO/2936,Anti-baptism,215,,jhm,12/5/2001 13:39,jhm,12/5/2001 13:39
DP/JO/417,JO,417,C/JO/2936,Devil's Mark,165,,jhm,12/5/2001 13:39,jhm,12/5/2001 13:39
DP/JO/418,JO,418,C/JO/2936,Paction,45,,jhm,12/5/2001 13:39,jhm,12/5/2001 13:40
DP/JO/42,JO,42,C/EGD/604,New name,96,Mary Lykeas,jhm,6/27/2001 12:12,jhm,6/27/2001 12:12
DP/JO/428,JO,428,C/JO/2861,Anti-baptism,215,,jhm,1/14/2002 9:15,jhm,1/14/2002 9:15
DP/JO/429,JO,429,C/EGD/1866,Anti-baptism,215,,jhm,1/16/2002 15:19,jhm,1/16/2002 15:19
DP/JO/43,JO,43,C/EGD/604,Anti-baptism,215,,jhm,6/27/2001 12:12,jhm,6/27/2001 12:12
DP/JO/430,JO,430,C/EGD/1866,Servant,123,,jhm,1/16/2002 15:19,jhm,1/16/2002 15:19
DP/JO/431,JO,431,C/JO/2954,Anti-baptism,215,,jhm,1/16/2002 15:36,jhm,1/16/2002 15:36
DP/JO/432,JO,432,C/JO/2954,Servant,123,,jhm,1/16/2002 15:36,jhm,1/16/2002 15:36
DP/JO/433,JO,433,C/JO/2955,Anti-baptism,215,,jhm,1/16/2002 15:42,jhm,1/16/2002 15:42
DP/JO/434,JO,434,C/JO/2955,Servant,123,,jhm,1/16/2002 15:42,jhm,1/16/2002 15:42
DP/JO/435,JO,435,C/EGD/2260,Body and soul,60,,jhm,1/23/2002 11:30,jhm,1/23/2002 11:30
DP/JO/436,JO,436,C/EGD/2260,Paction,45,,jhm,1/23/2002 11:31,jhm,1/23/2002 11:31
DP/JO/44,JO,44,C/EGD/604,Want nothing,43,,jhm,6/27/2001 12:12,jhm,6/27/2001 12:12
DP/JO/449,JO,449,C/EGD/2387,Anti-baptism,215,,jhm,2/7/2002 10:25,jhm,2/7/2002 10:25
DP/JO/450,JO,450,C/EGD/2387,Devil's Mark,165,neck,jhm,2/7/2002 10:25,jhm,2/7/2002 10:29
DP/JO/451,JO,451,C/EGD/2387,Sex,133,,jhm,2/7/2002 10:25,jhm,2/7/2002 10:25
DP/JO/452,JO,452,C/EGD/2387,New name,96,Nikkie Clark,jhm,2/7/2002 10:25,jhm,2/7/2002 10:25
DP/JO/453,JO,453,C/EGD/1856,Anti-baptism,215,,jhm,2/7/2002 11:19,jhm,2/7/2002 11:19
DP/JO/454,JO,454,C/EGD/1856,New name,96,Isoble Fairwedder,jhm,2/7/2002 11:19,jhm,2/7/2002 11:19
DP/JO/455,JO,455,C/EGD/1848,Anti-baptism,215,,jhm,2/7/2002 16:01,jhm,2/7/2002 16:01
DP/JO/456,JO,456,C/EGD/1848,New name,96,Jonat Archibald,jhm,2/7/2002 16:01,jhm,2/7/2002 16:01
DP/JO/457,JO,457,C/EGD/1848,Sex,133,,jhm,2/7/2002 16:01,jhm,2/7/2002 16:02
DP/JO/458,JO,458,C/EGD/1855,Devil's Mark,165,,jhm,2/14/2002 10:45,jhm,2/14/2002 10:45
DP/JO/489,JO,489,C/JO/2895,Paction,45,,jhm,3/4/2002 14:09,jhm,3/4/2002 14:09
DP/JO/490,JO,490,C/JO/2895,Anti-baptism,215,,jhm,3/4/2002 14:09,jhm,3/4/2002 14:09
DP/JO/491,JO,491,C/JO/2894,Paction,45,,jhm,3/4/2002 14:10,jhm,3/4/2002 14:10
DP/JO/492,JO,492,C/JO/2894,Anti-baptism,215,,jhm,3/4/2002 14:10,jhm,3/4/2002 14:10
DP/JO/495,JO,495,C/EGD/2172,Devil's Mark,165,on 3rd finger/ right hand,jhm,5/8/2002 16:50,jhm,5/8/2002 16:50
DP/JO/496,JO,496,C/EGD/2172,Kisses Devil's bottom,2,,jhm,5/8/2002 16:51,jhm,5/8/2002 16:51
DP/JO/497,JO,497,C/EGD/2172,Sex,133,,jhm,5/9/2002 11:45,jhm,5/9/2002 11:45
DP/JO/498,JO,498,C/EGD/2159,Servant,123,,jhm,5/9/2002 13:04,jhm,5/9/2002 13:04
DP/JO/499,JO,499,C/EGD/2160,Servant,123,,jhm,5/9/2002 16:54,jhm,5/9/2002 16:54
DP/JO/500,JO,500,C/EGD/2160,Want nothing,43,,jhm,5/9/2002 16:54,jhm,5/9/2002 16:54
DP/JO/501,JO,501,C/EGD/2168,Devil's Mark,165,left ear,jhm,5/13/2002 10:32,jhm,5/13/2002 10:32
DP/JO/502,JO,502,C/EGD/2168,Devil's Mark,165,neck,jhm,5/13/2002 10:33,jhm,5/13/2002 10:33
DP/JO/503,JO,503,C/EGD/2163,Tacit pact,6,,jhm,5/14/2002 16:19,jhm,5/14/2002 16:21
DP/JO/504,JO,504,C/JO/3033,Paction,45,,jhm,5/16/2002 11:33,jhm,5/16/2002 11:33
DP/JO/505,JO,505,C/EGD/2162,Kisses Devil's bottom,2,,jhm,6/3/2002 15:27,jhm,6/3/2002 15:27
DP/JO/506,JO,506,C/JO/3033,Servant,123,,jhm,6/10/2002 17:32,jhm,6/10/2002 17:32
DP/JO/507,JO,507,C/EGD/2130,Servant,123,,jhm,6/10/2002 18:12,jhm,6/10/2002 18:12
DP/JO/508,JO,508,C/EGD/2130,Devil's Mark,165,on back of right hand,jhm,6/10/2002 18:12,jhm,6/10/2002 18:12
DP/JO/509,JO,509,C/EGD/2130,Want nothing,43,,jhm,6/10/2002 18:13,jhm,6/10/2002 18:13
DP/JO/510,JO,510,C/EGD/2141,Servant,123,,jhm,6/10/2002 21:46,jhm,6/10/2002 21:46
DP/JO/511,JO,511,C/EGD/2141,New name,96,Dame,jhm,6/10/2002 21:46,jhm,6/10/2002 21:46
DP/JO/512,JO,512,C/EGD/2141,Sex,133,,jhm,6/10/2002 21:47,jhm,6/10/2002 21:47
DP/JO/513,JO,513,C/EGD/2141,Want nothing,43,,jhm,6/10/2002 21:47,jhm,6/10/2002 21:47
DP/JO/514,JO,514,C/EGD/2141,Devil's Mark,165,at wrist,jhm,6/10/2002 21:47,jhm,6/10/2002 21:48
DP/JO/515,JO,515,C/JO/3046,Servant,123,,jhm,6/17/2002 16:02,jhm,6/17/2002 16:02
